User Vehicle;Timestamp;Track Name;Current QualRatio;Qual AI Best (s);Q AI Best Vehicle;Qual AI Worst (s);Q AI Worst Vehicle;Qual User (s);Current RaceRatio;Race AI Best (s);R AI Best Vehicle;Race AI Worst (s);R AI Worst Vehicle;Race User (s)
Formula Senior;2026-03-12 15:18:39;Monza;1.02;111.523;Formula Senior;113.393;Formula Senior;0;1.05;0;Formula Senior;0;Formula Senior;0
Formula Senior;2026-03-12 17:22:26;Monza;1.5;103.192;Formula Senior;105.79;Formula Senior;0;1.05;0;Formula Senior;0;Formula Senior;0
Formula Senior;2026-03-12 17:25:57;Monza;0.5;147.017;Formula Senior;172.683;Formula Senior;0;1.05;0;Formula Senior;0;Formula Senior;0
Formula Senior;2026-03-13 15:29:26;Monza;1;111.174;Formula Senior;113.298;Formula Senior;118.003;1.05;0;Formula Senior;0;Formula Senior;0
Formula Senior;2026-03-13 15:51:56;Monza;1;0;Formula Senior;0;Formula Senior;0;1.05;108.817;Formula Senior;114.356;Formula Senior;118.869
Formula Senior;2026-03-13 15:56:34;Monza;0.5;144.319;Formula Senior;159.874;Formula Senior;0;1.05;0;Formula Senior;0;Formula Senior;0
Formula Senior;2026-03-13 16:03:00;Monza;0.75;123.634;Formula Senior;131.692;Formula Senior;0;1.05;0;Formula Senior;0;Formula Senior;0
Formula Senior;2026-03-13 16:06:10;Monza;0.8;122.102;Formula Senior;128.427;Formula Senior;0;1.05;0;Formula Senior;0;Formula Senior;0
Formula Senior;2026-03-13 16:10:12;Monza;0.9;114.783;Formula Senior;117.117;Formula Senior;0;1.05;0;Formula Senior;0;Formula Senior;0
Formula Senior;2026-03-13 16:13:35;Monza;1;111.817;Formula Senior;113.436;Formula Senior;0;1.05;0;Formula Senior;0;Formula Senior;0
Formula Senior;2026-03-13 16:16:41;Monza;1.1;109.391;Formula Senior;111.2;Formula Senior;0;1.05;0;Formula Senior;0;Formula Senior;0
Formula Senior;2026-03-13 16:19:56;Monza;1.2;106.835;Formula Senior;109.902;Formula Senior;0;1.05;0;Formula Senior;0;Formula Senior;0
Formula Senior;2026-03-13 16:23:03;Monza;1.25;106.051;Formula Senior;108.575;Formula Senior;0;1.05;0;Formula Senior;0;Formula Senior;0
Formula Senior;2026-03-13 16:26:28;Monza;1.5;102.938;Formula Senior;106.599;Formula Senior;0;1.05;0;Formula Senior;0;Formula Senior;0
Formula Senior;2026-03-13 16:42:43;Monza;0.85;117.661;Formula Senior;125.122;Formula Senior;117.535;0.85;0;Formula Senior;0;Formula Senior;0
Formula Senior;2026-03-13 17:06:09;Monza;0.85;0;Formula Senior;0;Formula Senior;0;0.85;117.166;Formula Senior;124.54;Formula Senior;118.159
Formula Senior;2026-03-13 17:21:37;Monza;0.85;117.109;Formula Senior;124.613;Formula Senior;0;0.85;0;Formula Senior;0;Formula Senior;0
